verb,correct_lemma
nosīmē,808
apdzīvot,808
šķīt,807
sabiedribāt,806
mocīt,805
piemirst,804
vadīt,803
apēst,803
atgādināt,802
uzteikt,801
uztraukt,799
izkāpt,794
pamadīt,792
maitāt,790
samīt,790
parādišanīt,787
nocirst,787
balēt,787
apstelēt,786
uzticcigāt,783
appiņāt,782
tumoties,781
nodomajušāt,781
apgādāt,781
-essot,780
-esēt,780
puškot,779
pamācišanāt,779
rūpejās,778
nobeigties,776
atkalt,773
aprobešot,772
svētīt,771
sust,771
izstiept,768
pamanīt,766
apcietināt,765
piedzīt,764
sapņot,763
laisties,763
baidīties,760
apmainot,759
grimt,758
izziņot,758
apdomāt,755
varejāt,755
pārtulkot,753
uzturrāt,751
glābties,751
apnikt,749
izdarēt,746
smelt,746
izlietāt,745
uzmanibāt,744
izturešanāt,742
pelēt,739
šēties,737
pasudušāt,733
dīgt,732
apsēt,732
rūpēt,730
uzlēkt,728
iznīkt,727
nosacijumāt,727
apdzēst,725
pamācīt,724
paskubināt,723
slaukt,722
essāt,722
apkarot,721
sargāties,720
iznīcināt,720
laboties,718
pukstēt,716
sakrāties,714
dzirdejāt,714
pamairot,714
pārlūkot,712
ticcēt,712
iemēlēt,710
noraut,710
izglābties,710
uzraudzibēties,710
nokārtot,710
rašāt,708
panīkt,705
-esāt,704
nepatīkams,704
nopļaut,701
ievietot,699
iespert,695
maāt,695
atvēlēt,695
sakost,695
aizdot,695
pūst,693
apslēpt,690
piesteigties,689
atbildēties,686
sacijāt,686
laimejāties,686
atlīdzināt,685
padarrīt,684
ost,684
izsagtēties,684
lemt,683
notikties,683
nāt,682
ielīst,682
pieprasīt,681
dzelt,680
pierādišanīt,678
svērt,676
iekāpt,676
smaidīt,676
spiesties,675
piekrāpt,673
demāties,672
iedzert,670
nomērot,669
cept,668
siedot,667
redzetāt,664
novest,664
atkārtot,663
izprast,661
atlēkt,660
izciest,658
dzēst,658
atmosties,656
aizdegties,654
pilsēt,654
izpaust,654
pienācigi,653
iedomaties,653
piebilst,653
pārciest,653
iespiest,653
tulīt,652
saudēt,652
parakstīt,652
noplēst,650
atbilst,650
tēlot,648
laupīt,646
izvilkt,645
satriekt,644
akurāt,643
pamudināt,643
apvainot,643
plaukt,641
sakēt,641
uzkopt,640
mērot,640
pienākties,638
sarunatāties,638
atpūsties,638
paciest,636
pasmieties,636
saudejumāt,635
sāpēt,635
iemietot,635
izmeklešanāt,634
atvest,633
dobt,633
apsveikt,625
pārliecinaties,623
atdabūt,622
sabūt,622
dabujīt,621
ieruņēties,621
piepalīdzēt,620
medot,620
piederigēties,618
nopūsties,618
norādīt,617
vairoties,616
stādīt,616
uzplaukt,609
sakrist,609
nosūtīt,608
apcietinēt,608
melst,605
ieskriet,605
pavadīt,604
apņemt,604
savaldīt,604
uzcelties,604
ievēlēt,603
ieraudzijis,602
sastādīt,601
saistīt,601
sadzīt,600
piedališanot,599
izsēt,598
izsalkt,598
nolaisties,598
norunāt,597
pieņemties,596
velt,595
vēlēties,594
nosēsties,594
izkrist,593
piepildīt,593
ritēt,592
nocelt,591
pakārties,590
pievienoties,590
pīt,589
ietīt,588
izsist,587
pataisīt,586
nospiest,585
izlabot,584
ielēt,583
paslēpties,582
atstāties,582
iznest,582
nīkt,582
notiesati,580
piemist,580
jaust,579
aizskriet,579
uzaiciuatāt,577
pastrādāt,575
palangēties,574
pūt,574
traucēt,573
sasalt,573
no-āt,573
atgriesāties,573
domajāt,573
atgadīties,571
uzturešanāt,571
pastāstīt,571
piedalijušāties,570
sarunajāt,570
atsināt,569
atspirgt,569
izstāties,569
ieskatīt,566
pierakstitāt,566
streikot,566
izlēkt,563
izlūgties,563
upurēt,562
ielausušies,562
atmērīt,562
ganīt,561
pievienot,560
bļaut,560
sabiedribēties,560
būmēt,560
nosarkt,559
atminēt,559
izbīties,558
apģērbties,557
uzart,557
griesāties,557
piederigāt,557
Cūt,556
izskriet,556
atriebties,554
pārliecinatāt,554
ierādīt,552
papildināt,552
raidīt,551
saplēst,550
sasist,550
Laj,546
tūkt,544
uzbrucejāt,544
kustēt,543
sagtāt,542
turpināties,542
tirgoties,541
noritēt,541
reibināt,541
cerrēt,539
trakot,538
Varretu,538
